,Ck,Ca,Ke,Ge
incipient,-7.678820963097358,1.8713560784697432,608932.3792345331,0.8458139454656329
intensification,-11.18341112943191,3.0792683764335314,846635.8345472729,5.360672030552289
mature,-15.065301166491256,2.2816317743772228,914179.9780734032,1.2873114900959053
decay,-7.573163127909035,0.91433581387404,460307.05649958114,0.3999510533609697
residual,-4.18125519380812,1.013652230427932,292928.7564535341,1.0811996668558903
