,Ck,Ca,Ke,Ge
incipient,-2.6641497154047773,1.1200440455263894,338353.8500959773,-0.23174002012835443
intensification,-8.022561778866358,2.461064724771515,616664.6948061215,3.98158820081713
mature,-17.303130708089,3.096376698290106,1145402.6767354608,3.7195782195478486
decay,-16.96506514821289,2.4632557503060757,1142318.5960493921,2.4262772513553337
