,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,132704.5529661585,130760.40315444252,886717.26047618,369157.935526242,1.0298362856536962,0.9890432521788844,-0.8625611859165817,1.9035726586923472,1.5279151829913329,-0.6209882623855827,-19.369857381264044,-0.2361455376944907,26.19325804363081,16.003709565194377,2.137373542551261,-0.0852840019952088,1.8628404036178403,1.861235956349468,8.329848540336814,-1.80279473617771,2.3538047584590887,27.53243082186374,3.3967536252485133,-4.332783043092148
intensification,154892.49615869974,136796.8551762852,1024283.0428132485,318109.1547018407,0.5207688240358458,0.8597001300921082,0.5873435366610924,3.448411852964699,1.6281982782926006,-0.8214470905127915,-24.828686565703727,-0.8451588868026123,39.919719142977556,29.236154922913087,0.4520447949518151,2.185540165403352,-0.09087645324938079,-0.5846488204109678,4.882940908968531,-2.0430921566332585,-0.33860577741402736,28.603515113975316,2.8255099929744145,-4.0590015861342525
mature,146091.76835707307,114393.15386943275,1167814.247535237,281200.347201481,-1.4892054669771506,0.8988094306269985,0.437563555727769,3.038858291772865,1.3908511672647372,-0.6152822896913521,-28.905713369387804,1.6298228739772123,54.04949759461678,42.63695916838061,-0.8673383366463037,1.0868072562094708,0.9183204644768437,-0.1603145439180739,0.3427280316707415,0.7227709473944129,-1.062926739138046,30.300083312307926,2.5950166069191445,-3.508346662627895
decay,277342.4872490893,90735.90706079036,1744152.7269602201,209833.5029599321,1.1501221852878833,0.8672355939751552,0.39487282371079696,2.2603716459946877,4.2202661502452505,-0.9026145735696427,-45.55510086562171,-0.2962887667492357,84.25292457159073,59.728900909091585,-0.015441810701274877,0.8729484064198001,2.4836709961664267,-0.38184993013134816,10.284594301259611,-1.1868613072679792,0.2807626251842152,54.29470015788264,1.9139006954578266,-2.7560713628026337
