,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
decay,524215.3422561246,247536.71992155633,1137849.1778690415,675985.3634167794,1.142493879433294,4.046130458705005,-28.196226174816093,2.1451445640139424,12.28453058700152,-7.386293814936958,12.804059042688557,-20.60927690193127,43.125053965170004,5.1505063749813695,-4.16685645518599,-3.2286620821250414,6.0813020469703325,2.0808437535499396,1.2195315787610588,5.396342964887371,-1.014604201892887,15.4692048314553,7.5661516737958365,-4.335750872011393
intensification,459068.37274245033,333871.6896586378,1273325.3707769434,1073064.1078734542,-1.624984924728358,6.325635777415899,-39.72717985813429,6.6503896705155485,12.50082764858369,-10.466296176052476,19.683246242663284,-21.438869964291523,45.43051352015679,-4.856029904460319,-1.332897425617189,-1.2984954896944176,-8.024890788034849,1.0744064965704956,-6.069419970591456,8.857836813423143,-15.825067583930998,15.599498569607912,11.86545656572262,-16.080862750935175
decay 2,265461.24684718833,302440.0529098507,737607.0169239511,1321101.2731523043,0.28418448760857146,3.2076030410870002,-28.851068803715727,2.5974606640888425,7.468011219356031,-9.549960517234421,8.10838922301446,-24.568625361765907,27.296141240937523,8.327410755078,0.2530755311819172,-1.69601333912952,0.23337464052767448,-2.0461174070276376,-5.916103663442304,0.6621111603152784,-3.742849050132786,14.542391429650394,6.893700733208626,-6.217792945723381
