,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,806133.0268071162,547277.8452056923,2895655.357950667,654540.1888467973,-1.428709866767351,8.663992762852764,-8.88192930305459,14.647339730440486,25.175676069408386,-5.1661056386161075,-40.637482427124134,-4.559736219570887,91.32450528895956,-0.0712699605526621,-0.2006342468551126,1.5919438472317426,0.5214208993038321,4.180620003045302,16.0731383114594,2.2718778190253324,-17.41897227401914,67.02125990840548,15.330072609249129,-16.69765499489886
intensification,751086.0310041943,570294.6228200501,3315803.047311616,763869.2983472589,-3.959438055334574,7.680030652736088,-12.30415129329747,16.24319989369329,25.393127126471075,-5.030227340686274,-26.292738456459176,-4.747620859420644,80.15638183921257,-35.16010246437527,-6.045304786766282,6.649556829117829,-0.06307702416945596,-2.0690843749003163,9.39869329016088,3.6610916799007165,-21.735611553239018,51.95502109525209,11.524312206743161,-20.138638647669403
mature,836451.8548832174,420155.16862578946,3678446.410174961,891953.5600249192,-1.0201231798401114,6.439613544291879,-12.486048981310967,19.688115336846668,25.95589330759028,-3.734156464709122,-28.707728429512485,-1.8782523632068773,74.23269895656502,-72.22547818539863,-6.6601750937744075,9.95108253731542,3.6955285131602946,-4.3698909997413065,15.044171609823007,1.5080620502962874,-16.840874429978214,57.258072200486566,12.612767257522606,-28.787849904654472
decay,747489.1399695745,291341.49236767937,3167921.691188279,802002.8778644742,9.800837095152968,5.361311927729991,-13.033239313963872,11.295685475929899,23.653580924105224,-6.4896173327925295,-39.883273468500654,-13.715637355138108,72.48581273208592,-70.02140082230761,1.8748557878172079,3.573775064088212,-3.4617393519024375,-1.1482260473636827,-17.417243532031232,-1.9916941068372644,-11.953171253124701,25.69843215528032,11.275764833628754,-12.604981541592931
