,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,142502.95513984957,48489.13220687852,361738.95843762805,115026.32383692544,1.2969324114928955,0.308931368341246,-1.9069345604431538,1.3319844096229214,0.4406753337217001,-0.33942163751780896,-2.5759045590069123,-0.2763634652658415,2.792699301907261,-2.284957137777658,1.6366280483959386,0.9563038062180507,-0.27605092949290627,0.16899236069937884,0.24898252007913896,0.3846384804705786,0.8891375166195352,3.43488922803631,1.531467039498863,-2.5779170243296545
decay,130188.43777273405,67343.83157056679,417282.76856766734,167996.83741847615,-0.0447370354384128,0.4953646164371509,-3.600543112217326,1.1210092334829902,0.9731752924717793,-0.7774153305836348,2.199193971300564,-0.2687377730335643,4.424047462160953,-4.099498436684399,-0.1409230625099572,0.7982089137647043,-0.751719224271347,-0.1236008851011811,4.473274369726281,1.4640736565231325,-1.274266935744388,5.919360546081456,1.279459062528293,-2.98874091614362
intensification,114388.47793792923,72496.151385925,418058.7561867044,216245.05744172118,-0.779077558674251,0.4550994494827782,-3.039783610353201,1.520158473595344,0.5221121441750403,-0.39290622219366705,1.7065648400748143,-0.33493538907749804,6.440619305566154,-2.381851044008615,-0.23935697514232357,0.6659764544198702,-0.49827830068793644,-0.03754907262641771,-0.33633279628028706,0.9306759877345487,-1.3443685540544494,1.775963532672351,1.4204161736798155,-3.2943307071364987
mature,81518.10947182162,55103.69811866373,419103.1191564956,266681.20071343664,-0.3464680184222617,0.3327225973343111,-3.9670472139298933,1.8108029254465414,0.7489702590251783,-0.34439876035763584,-0.22808687144206796,-1.4651597107697514,11.934406016637922,1.251586529351893,-0.04154214844203091,1.0801606751482593,0.2632265792709919,-0.3834483013503338,1.672973996158332,-0.0843158916409178,-0.4994891008421368,6.214576099952555,1.4390307871195325,-4.397006320247601
decay 2,88772.07502210495,31859.146271611608,372095.17697957787,165151.4400237311,1.3268375504868108,0.10306133822727737,-3.5231775130872434,0.21474475577984276,0.6037614524554545,-0.4246679740634212,2.6413895246813355,-2.9896355758187907,-1.0100932288486393,-8.319670701622782,0.7863460153141585,0.3328380896727481,-0.01731212478055489,-0.11172404118884764,-0.31628025328946957,-1.04671276876426,0.8088253114780791,-0.7613298153703729,0.42462735042713895,-1.7949994618125549
