,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,791054.3139135941,346477.81909133994,5801317.5804259805,585343.7762410126,7.737158994960789,1.79321269644063,-8.08502727501456,8.145524441928025,9.539564292665654,5.934731357535725,-138.28609829491273,-9.950164669183083,333.55841171218253,226.9206541583341,4.154435353904183,3.7497939628932584,4.118298230661923,-1.629050368161377,9.269165175404288,1.272109706107025,4.109105629397686,147.90313175037082,-1.211469980209707,-5.008277341652474
intensification,834171.3990469405,378132.61827550776,5409586.028735652,881316.1184474733,7.120606840169731,4.66148666867682,-17.534410441252103,9.320431948344103,24.578487397447653,-4.162764909520066,-162.95992482266817,6.251437214638876,286.7791964065827,219.8649042743206,-0.3244644918116724,2.982179996927885,-1.9539279703684205,1.8250149064645995,-6.847858271287717,7.593000822490857,-14.750321858969519,166.52587015246286,10.646725095651947,-25.513278781744226
mature,810789.3656632911,426776.75662408955,5859523.496873699,1119695.3687040452,1.4540955628871426,8.134751853505367,-41.852485421985016,20.413280221742784,37.70351823524477,-11.34221479356625,-157.01439077941046,2.4179224241090935,308.55686596166663,210.69376111289475,-3.7881122141796606,4.541202549402091,7.405830499671456,-0.7076993024402111,45.57633445206076,-3.4542800769707,-20.70884031918081,242.9891150905691,22.913043859363455,-68.13796814480759
decay,1057833.5863295328,517525.7945179357,7393873.384934358,958289.9175940829,-3.4472975403392905,10.039117771339031,-35.00123351014471,21.57692883229138,52.53258308319169,-9.596281337836274,-125.0925736688444,10.9874523384179,457.7444126661162,318.80402468415616,-7.569504429235604,4.654194564190356,2.193981323744911,5.46873089774015,36.70194376792646,-6.081160444647039,-43.74678152844704,200.2430484872549,26.60282329652877,-73.64677512550104
