,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
intensification,1000380.0231689063,507235.5066233219,4740726.588539205,544111.324932163,12.593953486071058,6.147517585515614,-4.472586955368108,12.257919967451157,46.536170614615756,-6.7411003577238375,-58.943555692077865,-2.742681774450203,235.48312184550554,92.77206622763366,-3.2723667893768473,-4.054612032052067,-2.5473479477439294,1.6794363717402006,8.594957254904028,-1.868857232607056,-30.342047490773012,59.41714641627895,14.530939111399581,-15.856682380976117
mature,909897.7073752459,555969.632819544,5061885.75177986,526823.1266199478,1.761217667516944,4.888977548773063,-0.8856376746673089,18.883054077674487,38.98675903040003,-7.21942633600208,-45.61245743440887,4.047075227977737,289.05643399882257,128.7847044910566,-4.79830249627131,9.41552939867752,-4.22022390743333,-0.14935310013588998,31.99204225372124,0.07320092902183035,-36.556787721543344,76.72891969528047,21.06414976476761,-23.7425660512977
decay,869214.9251543193,451141.6413373024,7310377.891266673,460506.10605497967,0.7831072778268288,2.5957330817997777,7.522773720850403,11.877604765528227,33.53667207819402,-2.9476447991990753,7.751263005049114,14.419230789033522,460.9793687999341,323.4783456536279,-0.5793412549126685,5.521971082282014,0.6180342125160586,-3.2990450780795415,37.74240576481643,-2.0434046433485338,-29.539797506051354,21.68526176109009,8.930471404847982,-20.817466477059877
