,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,456746.42515055835,86661.09536220065,1726560.3492889572,242094.3984555452,6.832253139999455,0.7943672913659227,0.8104818234628072,2.238430197199427,10.360725179969018,-1.8021767052696234,-29.779631023570968,-2.805481905130206,10.51670705269442,-5.076324083101752,-0.4780037847365201,-0.21658696072884345,-6.179358740568646,-1.7458114733470012,-34.84401935694293,-5.935599148945735,-8.913463489172287,-12.707123296834226,1.5004281377561266,-4.558065617552149
intensification,204267.73107026663,91375.13605678666,896490.1372464835,231298.86305115258,2.694274220980751,0.283023934128374,-0.6058516965009695,3.25992883927358,0.6763324038127648,-0.005829661941479797,-9.945823303523005,-1.720539996292683,19.27930300448007,10.838568147364287,1.1305350186694678,2.503572237636435,-1.5745336158020666,0.08477291431554276,-2.557010572412784,0.5487051066130113,0.7264321354942942,5.300390206630439,3.0675074814022287,-1.5965354328688548
mature,110495.37904092655,91020.34762332115,984531.1200686878,302338.0268180659,-0.06770625118727194,0.5321494943385671,-0.40082728263837564,5.191873582327056,-0.38095418305342243,-0.3033064935336311,-15.941886944712348,0.09731931615797258,65.34088578742052,71.66577818217526,0.1499401032572864,3.9507816231403137,-0.4402503573026817,-0.15536283152103686,6.541371705854323,0.6930405535653046,0.4051470689020358,22.95179218439232,4.807667750001083,-4.9969796275581
decay,109584.27229450004,84514.87228471809,1642554.3838469624,297972.1547705963,-1.2628882876982692,0.3750717026265039,0.35246082048786814,4.721199094521503,-0.25502849863280275,0.7577701557045049,-26.103742790171715,-1.8658153675442781,136.27171451405286,145.91156395294047,-0.570548293324245,3.672103320110577,0.1784659837278797,-0.14534271373901922,20.14290584099126,-1.4521718435257471,-0.4543221027110828,47.15707609837337,3.443014522451475,-3.955094750015104
