,Ck,Ca,Ke,Ge
intensification,-6.297616732343523,2.081686481317095,685595.57771392,3.467320813181281
mature,-7.369015625360771,1.6339171476484924,711908.467970132,2.160655864234683
decay,-3.9343993449893953,1.069680400879765,464216.8609297088,0.9204636099632366
