,Ck,Ca,Ke,Ge
incipient,-3.853825528526608,0.892542755459913,364211.5275459526,-0.25832034717085317
intensification,-8.794519572986694,2.302637277973659,692057.0416770746,5.033341737049497
mature,-15.408188979001334,3.3089693242041074,1251341.1742475752,5.415636565686708
decay,-11.320088807325158,2.3338275310926715,1140808.7208996648,1.942550776089777
residual,-3.6178323352972783,2.164710145855592,775461.5308028327,2.701873975010616
