,Ck,Ca,Ke,Ge
incipient,-0.32280150610176084,0.2463040960777948,206749.55632736342,-0.298223522096966
intensification,-2.781833746182367,0.7101939610917376,299544.6163603767,1.9837466330429048
mature,-5.436127845857868,0.8261998713946128,354195.66415601736,1.2426314240399052
decay,-4.283098404968792,0.9063445459224547,313440.1397118561,0.5839069539362512
intensification 2,-6.883854071118208,2.0868461115907357,502501.9801180981,1.7526949938392753
mature 2,-8.510646665912716,1.8363207047984793,611715.0732901434,1.8385315128142845
decay 2,-4.070077148521486,0.983251685788121,463070.222101978,0.8226788291829588
