,Ck,Ca,Ke,Ge
incipient,-3.1476141415485994,1.0904823889497788,362792.6229357255,0.4399818271686313
intensification,-8.367507540968447,2.1196588405545884,689180.9942929803,4.242793167778759
mature,-11.925674130828614,2.340202589425112,943154.0052259648,3.1313110732146407
decay,-8.422904735584655,1.3132679537079703,658774.4777265177,0.9758815786564364
intensification 2,-3.507765340960824,1.105978544357436,376883.40857742156,1.0755444751749452
mature 2,-0.23087811543272618,0.4804511413306427,327043.19163902913,0.466123536466827
decay 2,0.20456734242262886,0.21669060518248287,269107.6846682246,0.05323035146126304
