,Ck,Ca,Ke,Ge
incipient,-0.8450659173550917,0.3854615065809311,223593.98933447164,-1.2040924542475726
intensification,-1.932301863347746,0.6580760772644638,257470.8122249715,1.5530559103681447
mature,-2.1543233809364772,0.4301759758174627,254520.90522566804,0.9893265173997453
decay,-1.5188588672814527,0.26014863440401403,225448.7436845123,0.6406375940764818
