,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,442786.47872780944,172152.5839599232,2041312.539039522,463793.0964500704,-3.7227659911366247,1.3675876867948937,-6.826225378655304,16.67236739188884,3.6165097097809964,4.6660207638294064,-42.22459384487848,-3.007182435418603,111.08889894089268,110.67194019008062,-1.9962678637121107,9.42403876869494,3.805632230452828,-0.04343801316501695,14.700796624494775,-0.4011714419730823,-2.1660557836698993,67.47438183916519,10.595320928099522,-20.892581777098624
intensification,1174482.703997533,140587.596990603,3924679.804604964,293855.8247613703,-6.249631651039689,1.2852800706507213,-10.585959338898077,10.424619103134978,13.199419004533711,2.8761568884556263,6.312808723627061,-0.7546872101676371,36.12560335628089,12.341030724588858,-3.865236721109311,3.8102596680507315,2.9226348091476697,-0.03360197090248636,4.589853854794087,1.2594739477468986,-15.241135775775007,15.112636121104794,6.229580173126146,-18.99641728411852
mature,850959.1538907446,353262.63156871364,3030835.385046893,1088351.5233084327,-1.7700214344114364,8.201678157440394,-29.805400321598743,16.373009521965187,8.251611504728999,-7.933477331526238,-50.70733929625146,15.737889600306314,145.75859785407394,69.62985126676332,0.2670427902424731,2.83426979155563,-10.97362031405732,3.3946670901780265,-17.753201617138384,6.111911109010989,-12.793575095757356,64.52955943512325,19.49947578622906,-55.804388334859254
decay,156914.94402818632,188635.38979059734,1782717.4661513653,836675.4072544265,-1.6180207308284598,1.4148953085947256,-5.575549515366847,3.465165776805411,2.414279204727755,-7.365687077499449,-19.18279575225076,3.406301698127658,75.86910451801567,51.871647033033874,-0.5496812788862284,1.2953489659056716,0.0674229998500781,-1.3195388276849762,-3.269351780108854,-3.549202473757401,-2.549981627111409,23.107014218337213,8.096418718025157,-15.996219464057317
