,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
intensification,225825.51514897533,156624.61181432748,1894325.330917205,299818.668249851,1.9126879013675093,-0.18889338448434706,1.3527605245840184,3.431416688145505,0.7444078625965829,3.9993059052649143,27.699096558532478,0.42372707752344285,-59.17908763612952,-6.063952343922309,-0.9300514325354259,-0.40628202747467873,-4.41349726548197,-1.090443738008329,-15.233794865075003,2.1819848448071815,-3.434110611195391,-46.19833984955901,-1.4694395706433903,-0.3203983962777488
mature,146071.77045932278,133435.81163095508,1595475.9858042384,433725.03680920973,0.03440179195587023,-0.7108001397488022,8.77287698294224,-0.3806569733253359,-2.315653019443917,1.0142112141759623,20.765242871629802,17.168465370056055,-99.25069735832338,-49.685139176912244,0.5046962708420479,0.5520227120451201,-0.7435164679951844,-0.3239380461470837,-6.517528088705962,4.011403350849619,0.8957382036558004,-36.090049735233876,-1.0080060938995796,-4.003528062938859
decay,124351.31472888673,125720.15513744045,1277188.758398674,369083.5984529618,1.0122277901154662,-0.8955872209263399,7.355848948843137,-0.6162414951809534,-1.4672604765509238,2.0758057229652858,2.1503673669528998,4.186825055059752,-80.76185207557143,-56.34483956081012,0.3808196332311289,0.03401523887108544,0.34763701210262654,-0.4218932185064033,-3.1919642454537325,-2.543874911016223,1.9315380578426766,-13.710408351365237,-2.2183532157263026,1.2413904779481155
