,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
intensification,882219.3472463961,93186.68175815501,1408277.0181617679,462396.8860328151,-4.0585425195625735,0.18847046327218586,-0.46834278536172463,0.7751942984258167,-7.608613973727171,0.9139941036794716,-6.499161910261437,5.093745624454444,9.671169634238217,11.103386522643996,-2.6789767811435974,0.37183852889171326,-1.73495792888072,-0.03222145077861233,-2.331704971302788,0.5785282112853856,2.0035839885560645,8.694342243882943,-0.3594917193044533,-5.7587544969566
mature,572685.9681643461,94719.90237306427,1345406.5363087908,763105.4319045907,0.8538435837792179,0.19064665882206508,-9.95012850018966,-0.20781193857493563,-0.11899491803330871,1.6082999992445728,3.1295072614070754,9.820538546204014,1.4061279091101533,-2.8246985596808387,-3.042174458467038,-1.0188428034450057,-4.788591535511725,0.7408291396953893,-3.3096407936390837,8.027559610856875,-3.625106374877134,2.657136861364284,-1.265929456946184,-11.535295496961865
decay,366626.97547847225,88143.07394944558,1538418.707163283,541184.7697107141,0.9439910750868357,-0.6190065411622139,-4.175011935091838,-1.2892367108141596,-1.0767567223315586,1.2096158455631683,-3.460810632850987,-4.884243030958067,37.18282771299977,27.98550232827048,-0.7598831782013372,-0.3817795348397275,0.2462354806318116,-0.4384522011586718,2.759268050030749,-3.948399289762861,1.6479767368879923,9.451099542886737,-2.3182982163737855,-1.949931483082473
intensification 2,726776.7407450781,154308.67843699345,4046230.834251431,282913.073697961,-0.18239571872836507,1.274015309951244,-5.2003484502767785,5.66320021516473,6.810950306970161,4.1153792668847435,-15.69289334926472,1.5977034925669116,109.41293981895366,81.91555094487654,-0.07205527934543453,2.0426815063627903,0.8877551633140142,0.9817864375287606,12.388302658486062,1.6804488058583482,-4.831575552433267,33.46394017675592,1.255592075857504,-10.780803352150073
mature 2,578651.5623784236,175838.23952209274,3625870.4123166027,527048.7204480831,4.3146224882692925,2.062365803340791,-24.994490219876386,3.3070816550145743,5.542622828313822,-4.936286015090734,-34.75727388862964,-12.970100328398676,368.246852139086,323.23535036649383,1.6092434304712628,-0.9588752986888335,-1.8932721656812397,-1.4845267836845,-25.634011405672407,-0.032630442105959494,-1.058906702384976,29.803130214564323,4.696475083080018,-15.364101988598247
decay 2,641664.1698633957,133105.0649199408,3001086.1053941115,367004.2399369608,-0.14808859324431722,0.5632004325202445,-5.090154079242493,1.9340241387903945,-3.5530785113962966,3.0213819648532296,-3.7052850503435466,-5.992279806230737,100.89445260510279,163.5839838975008,1.2546196778814,-1.486690705422241,1.5411713102679767,-0.005656513445019866,2.505620333049111,-1.6413293979987973,5.5093616609402005,11.449148055879467,-1.6562147720280997,-2.6732278098009474
