,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,422365.1823070757,237748.8832393009,1195432.7887408219,443827.08514154836,-0.943374435934821,2.0182208889476407,-0.208794324835624,3.056303785092743,2.0787296309465724,-2.6269362952064275,-1.3626433915559486,13.291955320496967,-3.140137259834969,-42.60635456711507,0.2594806991946557,-4.138641497439518,-1.5717975873689005,0.3794015651603007,-0.3233518695546261,1.539241102824871,-2.575680765302653,2.191460282771767,4.044420756511831,-15.017812327600465
intensification,251508.47618267295,262295.44809622987,1354417.8187847442,527095.8951498203,-1.1057384642663661,1.9452013931500274,-1.6935388421463815,3.7438345390586885,1.672482960580124,-4.725337913028802,-1.7658055838969524,11.51902867105341,29.892478963544836,10.470714990667425,-0.466264859524832,-0.9984234134245707,-2.2112845483291235,-0.6885623456430101,4.57594993966586,2.0421835709531653,-3.044304580025586,9.141032829975561,5.835408713294454,-14.914218481305316
mature,287234.86269624106,134269.89798145273,1831253.633052795,624656.6418114571,-3.4020132769985185,1.2876402335045827,-4.051395964566616,2.6215923281528912,2.283440593336185,-2.9134372017847485,-4.214261119429103,4.057641151970585,41.90629904962585,10.690455585489326,-0.7363706701371079,-1.5372215542286145,4.907829006550152,-2.759406457202281,12.118437484973276,-1.7740123205995124,0.510015369720031,23.78610784596751,1.4879828392307763,-12.504641765289605
decay,371180.75746276963,125247.39773003475,1942096.1060772582,595467.4579547278,-3.64368095910622,2.872236893235712,-10.335080381482555,3.248611997688785,4.262014321045609,-6.917905704210819,-20.542737837018162,-4.617428657852839,103.19821591934033,75.2786957853692,-0.6851508475945967,0.06154607654405383,-1.9746871635035517,0.5763089123223629,-4.536273351972806,-0.1407570797039295,-7.008145550419669,29.98522582563413,7.870589720986254,-9.10702080102243
