,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,377300.3471538879,85033.18521624514,1182419.038217989,160847.7142026565,-3.4225916278901307,-0.2420638178551564,-0.7378881099636728,0.5897095722130963,2.4927461629085506,0.2116649581842537,12.129154816095925,1.4448295024502888,-67.36817367767443,-68.68244585559647,-1.63211947253608,-1.4780474738795266,2.803487281537021,-0.2438936384097259,2.0798317070452805,1.5958682452009358,-3.353914327116817,-5.888843371196841,0.3762147934742731,-1.1765589394261222
intensification,338445.02150568913,71232.15362408043,1056393.9880941978,209752.63647581032,-0.6797892908317978,-0.21630095940214053,-0.6121249888385457,0.6097292284939726,1.7849565996569103,-0.18048755847134848,12.423850827271563,-1.0968167158655673,-66.94501077940251,-79.16444126316026,-1.471441317513664,0.2874696955623836,-2.2927688964878152,-0.36455384345817254,-5.2976194242339405,0.86805333546373,-4.973815746378663,-16.429555971835157,0.641963902909289,0.743015833996779
mature,209682.986809529,59567.069997661754,763587.8932142789,220978.19429272308,0.16618830529068473,-0.27878462765773987,-0.6399755217463775,-0.540844721009378,-1.3064878310375174,0.3032198561471025,11.19526660976979,-0.6656391556838389,-48.27520087209884,-68.62454549997632,-0.918155708290091,-0.29410718127161534,-2.3347624688670083,0.01171201406494387,-2.252366942184169,-0.034438571429070884,-1.140870960196546,-12.973846335498266,-0.5535679354337967,0.5320697835177685
decay,171887.89435636677,86766.42936395883,819627.0309206927,171082.56930377128,0.8362554522892407,-0.12237409717761573,-1.906692535247032,-0.5501543501712672,-0.29475608412034765,-0.025741540953718344,6.9376071595454185,-0.8975925548198392,-39.71731539525877,-42.45365355812031,0.5262993196034828,0.07471315813391775,0.860616934005901,0.20745627541546274,0.5402599828630938,-0.6549250966821761,1.8692543732378737,-5.326910093724532,-0.1945824366244703,-1.1138707269381019
