,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,1799711.0827724554,104942.27617000022,2602501.122867579,143891.74586073597,-2.117205891314094,0.9651176770330299,-3.7939980580089614,4.697182062033513,15.409631136954745,0.278632406829658,-31.846684348591864,3.56109958349924,2.6509551652944956,-42.356138498414644,-3.6806980184544265,0.4892375139440163,-5.832895095862921,0.5879741221891461,6.25387746895261,2.4325111781828186,-22.394614447098732,44.01176576686753,4.041406100359971,-9.619768525358896
intensification,968378.8293636028,290640.07855436375,3008840.658907179,394752.14262667956,-3.431500547029101,2.8128236672301217,-4.4123689671283435,10.650544966500714,3.087568493758159,7.321987376531005,-15.075393757391426,5.533750360635763,118.7882905747408,25.92325491845801,-3.2069749932086626,2.152530779971664,-10.560871861375349,2.519595623178072,4.050909939549438,4.135740906795901,-14.26711723493249,26.970173211098302,3.035329545917662,-16.46092338746892
mature,115968.74818686342,336155.6172579036,2605118.107993979,760639.0041843139,-1.8088740173581173,1.1950985107616285,3.6770127816251046,10.100855221524885,-4.603098916803846,-2.134596637747177,-9.270688019187588,7.218656605811086,170.5439104068586,142.3160348709926,-0.14750492810533386,5.152344834406068,-4.197725084369916,-5.026957642361356,-22.175457051637636,-2.0548965089317814,-0.20840167416255903,-14.772907796717039,6.013395706149078,-15.697395554642648
decay,89126.39907469082,47623.396261321475,887334.2768282518,163640.70510160792,0.7977408993986563,-0.026383520203862216,3.243066456283061,0.22730698957166745,-0.433944145463815,-0.2988628664526881,1.352470878136405,0.9327706479914696,22.25117061241728,3.5175889499446917,-0.4459375011186887,-0.043714180708632235,-0.008295642787368631,-0.5939454891084217,-7.162109243858575,-1.9356534006716548,1.1970058818712404,-12.555387477676694,-0.041392112880203745,0.14733541804826902
