,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,317009.0204851568,304283.6926857609,1861042.0615757385,564645.7534631442,1.3774245061421138,0.6393300629095376,-6.84186955017931,5.123138789271253,0.2137861392660931,4.756943872957391,7.082870774841987,-8.26279007029538,28.576251454736454,3.562530155569592,0.46207339710541184,-0.2977329936654362,2.3960024181807746,-2.462597147340754,1.4379319802980979,1.9068610470318423,4.198970847966334,-0.18049375050669442,-2.73573229393643,-1.7953572221233407
decay,566461.3926117715,182120.55618285708,2395283.358430381,766307.686934982,1.7128452380086727,0.8610481149259677,-13.98525636147138,0.9673669005792422,1.0318551123231128,-1.4318275690228526,-19.25847549993446,-4.2105513469660325,64.12231717459956,-44.00548820313763,0.21935310374333145,0.13458366164225088,2.2479534231478953,-1.8838773436894267,5.690034204959572,-3.4945682269942777,3.789991663759423,37.22092082835674,-0.3457309890133004,-14.236640142078869
intensification,310709.7732377095,198569.73590189504,2245985.5954800444,451738.6146438107,-2.850201208979967,1.682742143810741,-8.085785341200618,4.412992215345861,5.753489972236378,-8.303147679900608,1.2102334980030574,2.4877283611929384,130.24243686865768,78.29836076087346,-1.400851209964667,1.4556498786725502,-5.119832678797676,-0.5559310546273921,-11.639209926022515,-2.0428794502072236,-12.040781716203279,-1.9134568738449889,10.477466696808339,-17.02938536794664
mature,212670.95771754684,53303.716133845475,1604484.8255755878,312040.4681686289,-0.2753912408271863,0.3425164074728659,-9.16989614292774,0.7742708302153316,2.3079651748808026,-2.843518592588068,-14.449936152815592,-3.720679680448348,98.81886819972956,40.209356036329716,-0.4198771652051384,0.7686106527969393,1.3957091927584622,-1.599969046933725,-1.0531175844248164,-2.2872600191709407,-0.845130815476661,22.842105952145705,1.6753039683968092,-8.510747311865664
decay 2,730017.1972939332,42616.38556354354,3228471.405432602,151369.49390151055,3.5430558654321307,-0.05893027269366375,-5.1660672252671125,0.14976974202918333,8.74774903165016,0.43985688011044227,-38.717309009843326,-2.229167157153876,188.4895592710968,76.9800231348199,-0.6124432376878995,0.3789260437536,2.745199427724534,-0.184692667226624,19.873777160048977,-1.6513883602748238,-2.5184240111871605,60.214097529727304,-0.41584953261421914,-4.738058170417245
