,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,596812.1831370117,481489.3155358067,2468821.348723896,455448.9516836538,0.6865938366665679,-1.7022001885587104,-6.348405481814185,-2.5548489211002408,-8.120034648866113,11.047193725017067,47.50961691581914,-16.48148230178475,-115.4760832144029,-137.3639680920498,-1.3051290627407452,-3.614621290335963,-4.531103858795518,-4.44668733659727,7.045881670812344,5.18462893976363,2.573324438178452,-34.80192359985917,-16.346529794155863,17.87255468083444
intensification,885077.9910900673,256490.8883525019,3205636.910973933,619548.458385507,2.1009670120843658,0.36843045981625705,-30.859566128464035,-2.1343768325827033,-5.808744747214704,1.8852819351315198,-21.45808783188129,-24.799949120904202,10.208927868682329,-69.5452309237785,-1.2918059627442908,-2.5434953326123653,20.837885583360222,-0.16289590124401063,30.723569886836145,0.9038636747551153,29.116027802475546,80.94025683509712,-4.550985128774492,-3.0213765002220163
mature,1907706.8328330356,393148.6037446938,4587487.899373312,641992.431855309,3.516917691243363,3.706003318195209,-40.26874354054193,-0.810567901111512,-1.968126791429302,-8.065324009625982,-86.35992935410434,-17.859593814187082,65.28089359402526,-87.29178845710881,-5.704530963371623,-0.7441550875055254,-13.296165565736606,-1.3655682836302918,-0.43599880817712755,5.9242976871926984,-4.105117764868737,122.67575639522579,2.183184506688969,-15.674284138050636
decay,1519385.1217394816,427849.7375193021,4475152.188393117,841993.4683744687,14.765072427154522,2.575812921291331,-59.03242736858138,2.195137437602338,8.24867716735384,-7.2434944497088045,-59.26145964708972,-30.79205892679645,9.601441295915594,-148.22337960714353,-4.893201854439691,5.665440669962946,3.199169289012454,2.2749450569105463,1.559895220929164,6.673051802229546,12.291377470104468,105.08870980944575,9.137764022930359,-23.762454077157717
