,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,433511.8520547664,93464.31032878083,2446240.550583729,137075.38398726768,-3.7206929152805928,0.7008298337571676,-2.805819551794902,0.039880563135885276,0.749343959311524,-1.5019750193180448,-11.838278525442778,0.3168323321092535,116.09359733625404,72.70561186347136,-2.175905074166091,-0.4975017208230465,1.7424534924041422,-0.041314880899131,22.041832883033052,0.38501727957928883,-2.026753548430807,40.40662387555132,0.7997108677976316,-2.777515167460752
intensification,442306.2519365287,157508.16876263655,3213366.065625428,207176.09549424748,-6.462666232960463,1.3402292784207965,-3.534781970238121,1.583671895245453,-0.2732714473989241,-2.2843763906353822,-15.581458457568377,3.3105412700816395,101.70276049894403,64.14157979516585,-2.7613940443322016,0.08796126904025658,-1.187234261333032,0.4836480170703053,-1.082598032790301,1.4763628365150139,-6.036399768473772,24.496308627976667,3.0114670245303428,-6.952632299050198
mature,351365.9079534325,155077.05105783744,3115060.3282338157,433591.10239202646,0.4908504696367856,2.618015489494725,-15.47212095603156,4.256415340495029,8.06442086009013,-6.337522101235358,-29.186919613729238,-5.483014686128724,56.74173330680435,10.31863924147305,-1.0443381732786494,1.084693576916364,3.75257590544976,-0.22786814705684325,16.130402446824323,1.856136501965777,-1.2029789955088594,60.29859254694834,7.748053805178818,-12.38938510843209
decay,770631.7128939666,226310.4793897821,5389309.237454662,399904.18303565093,0.30707514703329153,4.791135795081163,-14.491402033023773,2.709387269724537,8.964802661164708,-10.861544229688315,-48.20866943999192,-10.623607063139099,287.9581094307341,215.38177968443202,-0.1892348073555465,-1.729349967796258,1.4513385103849157,0.2596770384072872,16.69307984963574,-1.7099079714146044,-2.415253208665336,79.08607617561815,9.039472742738972,-8.287090211023811
