,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,712821.4063811427,275241.71442492324,2622385.9180339845,802855.6042186231,-6.013167127248235,5.3435728835916505,-22.012907615849752,10.518656864221432,8.093506848638226,-6.866652073412349,-61.317155023538966,13.592128569473438,96.73032900829509,28.097147071968887,-6.490890832264356,2.1189832178519423,-2.138961335388061,-0.1678857121864461,-0.7928008801383785,5.757290070210481,-10.902062427682873,88.55042888649855,11.873850341855686,-40.36640297933413
intensification,753973.2448197071,235848.4168088786,2735783.1627600044,869676.097359197,-5.731935776418281,6.122462663349908,-26.46893093314729,14.18035042050103,16.000582798219412,-2.244139174380758,-49.937794576022654,-4.660522699265861,117.27006750946484,55.71217224989347,-10.125035906965094,3.691855805697407,0.6323879087596734,0.3876558814805253,3.0354422334471876,-0.8007527587368806,-14.977668002528112,85.17410351903541,10.689682813012404,-36.78951141311934
mature,674020.6703804607,365482.7372307601,3078396.2495206324,897915.4927745265,-0.2583902580052397,6.403913159753747,-25.951877711216646,11.40887820401404,16.496355921978402,-2.539002970981506,-61.81839297469968,4.467668381227395,189.29447730497563,150.18941523998734,-4.8774282815003716,2.213336793736568,-2.8730589294092788,1.355143846869666,-1.944636319502726,5.501882065853408,-13.223891949639176,86.08402462441883,8.899111862111464,-36.32654223060468
decay,349692.64740741305,177001.1621023295,4108699.8098489167,896956.6047183722,0.028966138846630983,2.97868909015025,-16.084756431090177,9.104198483749055,4.781866102824437,-2.0194662747662466,-60.39877736034483,7.019837578387616,211.09452505300982,187.83587363875202,-0.8308711461545522,3.1067756516043072,0.22115053384078165,-1.1096229170230452,5.61160703318099,-3.2519551867083396,-1.553060339986773,82.06617468576937,7.035352751342006,-35.460747679935174
intensification 2,794689.650161763,89643.36174550142,3737933.938378169,249377.95461934194,-0.5463146698490795,0.2814744674084527,-0.7369798641422407,-0.8916833850752294,3.826761674750214,0.9509537447584583,28.72042015506189,3.81771516794135,-210.54118873615084,-276.6104349863694,-2.045201656706146,0.2222083090191927,-0.8504075077799804,0.4865695117308527,-11.06037209132232,1.8622641493650647,-4.942009384970822,-38.49749771239289,-1.6375420855112868,-1.8007474976432971
mature 2,287341.4110129796,167314.50780260825,2213944.9191555493,446308.06658063305,-3.079215355554086,1.5644286959422768,6.401597482879535,5.137483677255994,0.3014876715991259,2.449820845522795,-0.05223365388021293,12.641428892732794,59.0167666080549,77.64869344682735,0.6475371650146011,0.38364292833214797,-5.281921816306202,0.7920700860841254,-9.293521277136847,-0.45926320532140535,-7.098196147517139,-12.563669750582084,1.9153042218750478,-11.836578292430662
decay 2,105448.57888255038,189543.74219780334,1278425.43241238,631246.3253273169,-0.6468882708443693,-0.10031322487771327,8.566795160005142,1.5513683858915037,-0.6525881601519885,3.5404520101079324,-6.110807893507603,5.91234973053281,-14.967060504018061,-30.82275823203036,0.26762786752109724,-0.7104765074913936,0.3159459786917216,-0.1467490635206979,-2.590414821271523,-0.7377271782028471,0.22133264312162781,-4.39951381692469,-2.0355194628594138,0.3653498653779819
