,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,984935.2466413848,313805.4960901154,2477077.0651779734,172967.32748290358,-6.8556863973346935,0.4382108016301518,-1.4286527239960332,-0.05437169156448962,-9.129457383742748,3.096520347074804,-23.218449366343965,-1.3242328160133863,131.40075620349367,117.35664038657535,-2.7238936528818285,-2.544519726363264,-10.966378734313219,-0.9074151203986136,1.7689865833866978,-1.4422535889510426,-8.254396946275014,33.27177507106139,-4.496517960668058,-1.4923018053692008
intensification,396300.28014393046,493610.0055699353,2231195.7194532575,832313.8067012328,-8.33244448361959,2.4617316585064755,4.604423345695732,16.59310952275262,-4.738573906274675,1.4146920140387473,-36.34130039565639,21.13714810160934,124.17248609248972,131.85974873536085,-2.6449256533960157,10.738441399900513,-3.5893342524919962,0.7216681736263985,-0.32358543609549906,6.675490157235539,-4.721473171330435,39.74573609748475,13.438354023833796,-26.450344121430692
mature,279098.09574256226,313388.2181341258,2427520.5002760356,906999.3281855525,2.7881272825964993,-0.27700527275231296,12.19603528544179,6.368164933107184,-1.4737994102688148,-0.5987213092409898,-10.593151178149649,6.914227515604073,24.862800624420693,2.183282105987399,3.172679960745477,4.829607495640956,1.5277775757898462,-3.9106850714593278,-5.528326376683174,-9.023559005429178,5.512698995902848,-9.919337766571816,3.33320644364116,-10.109916168698645
decay,168003.71701418012,55316.20602450996,1591173.388255326,231584.1868158067,-0.3515790007497422,0.07436332068047535,2.5526587959833655,0.655944596260659,-0.6849334374907479,0.41303531212346467,0.037758853959012045,1.4978351626805182,4.7013730407701955,-2.1272067343766707,-0.1884636116813404,0.04624313451893686,-0.5861962546746685,-0.13264432256860803,-2.4232172233219362,0.49148445570751426,-0.17847849725318782,-4.662055872514572,0.03590164088811097,0.8903634927497021
