,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,238271.07609089775,113388.95440958047,1848435.0574043132,218151.40736148463,2.630842354896189,0.18448216532935885,-1.079505808500333,6.164467884950274,0.8292466818034893,2.1391466148474865,-10.1207421981731,0.8296719823743072,66.97844441247035,64.00901824965784,2.1939784171000314,4.239280367493785,-1.3201581306624628,0.33872987050492137,-7.013881781901526,0.9273871874638233,0.6659197077595953,1.5555238698757172,4.179568975278351,-7.146258488361091
intensification,277590.00640137785,149517.14178095612,2338808.970271374,345091.0999355881,-1.649053938193714,0.4275560809972433,-1.5193545411042302,10.909628493170898,-1.8732764852929016,6.432048140729039,-27.781552920966455,-3.1661974721040425,139.95373922911233,156.56421552933102,0.21833988759556444,7.021364018202367,1.6151114922052663,0.4874651892065528,17.191635635682477,1.1413650917168376,2.2668901203016976,48.14159703594688,4.537489460651168,-8.12142047045425
mature,469250.0341441764,139154.1388411082,4143903.59005557,284505.4662091545,-0.9786444115563371,-0.4103988083528845,-3.8249252723482927,6.367736587956463,-5.997732181597267,6.212857200051022,-35.149455299544314,-5.629020510130065,250.8693460870837,270.39945806271334,0.4933668919450912,3.433212943170807,2.834684626718906,-2.0103995497679437,24.130352917602934,-2.5221328315915867,7.443373588406951,64.08337790105188,-1.4451213535096175,-7.085774181766277
decay,549989.5825201771,110655.16466715508,5041782.982370902,240050.79500615626,1.2340712938545326,0.4148766993363698,1.9373139504232049,-1.788518485685742,3.5341178253896857,-6.037700878204961,28.27038159558455,8.547583128647426,-79.95747124942471,-43.23723131959875,0.6006018821058464,-0.3122104829286585,-0.5197116112014952,0.826395477472508,3.1808557160207425,0.5706918117781941,-2.404881443400279,-28.26091112384154,4.660701170655357,-4.2510588807602865
