,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,739814.2662915207,162710.35950993694,1576162.3370995882,87200.02878548155,-1.3056891169106986,0.1428677338805627,-1.8686006326164986,0.505213517205717,-4.210068401759223,2.271582201791163,-18.432574571728402,2.2940574223169854,-37.38756776081931,-68.59373130653404,2.051421922084519,3.671201732435322,-12.381107140522815,0.9463044746321396,16.379652679159427,1.1831488796785503,-9.333860121793728,37.98651700041503,-0.9629319438338688,-3.4847226924606503
intensification,630047.6699995333,129429.18984511847,2405210.3957149237,127893.37544466191,-3.0109839681437642,-0.4038919845938695,-2.350846236842433,-1.0266756437691746,-10.8186483819959,3.2632411608834957,-27.693454727893574,2.2848819865695695,-55.09293384246897,-96.39516388578697,-1.3841526259137318,-0.11330729700942337,5.132503829869003,-0.689694985095369,28.907623099682546,0.9581219323228479,12.536276259127266,61.96290803256231,-4.57571980515417,-2.65093064731998
mature,1193965.025733157,139528.63600952004,3505349.2674044957,160968.6202095803,-7.169103301667563,-0.8664108723026016,-3.686271255912982,-1.9404523286254842,-21.550918007178453,2.6219807821939893,-45.676616902982644,2.3902186938955206,-59.521344960461114,-120.48248136633782,2.806935713275346,0.5748024893575535,22.18292083696039,0.6327645828857802,15.939051260383696,0.720676865694743,35.698324670168674,72.47104272094688,-3.0632576556310918,-3.4153607554882743
decay,1934711.8654717414,137241.8574302502,3843244.427165182,156567.8393180782,0.07567060356116406,-0.7535761316324209,-3.2033477978001508,-1.9251133561315124,-17.90883478038038,1.3413987746008715,-52.66689522035766,-0.5352304092181406,-46.09642757922051,-101.09768746607784,-1.1588703750001859,0.05518398453852513,20.136067729960935,-0.9008914554844281,5.448150762101616,-0.7333208675080409,37.36699698227007,61.24272317669826,-3.413827454584391,-1.4763248999585386
