,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,480218.3758505109,87609.01070887639,1869749.053936251,448629.69371201104,1.3765318202583645,2.2820546335364655,-9.41574774774314,6.3035135228336365,5.508903610501282,-1.5304449962124833,-48.07398215549492,12.705427633482866,39.65134017434138,-3.058178682878669,3.40891297493173,2.2115632126973326,4.287086136261944,1.4624411709585725,16.17399031957508,0.6010240208967177,2.436768979555491,72.28718840255479,7.014345056468228,-27.823664883162927
intensification,437166.5881949458,264448.79100943,2546367.200033237,867682.9935153436,-5.122067122165673,4.969447802377725,-17.680848472408933,25.41191078312616,7.925074734732607,1.5925226746570464,-71.59105874699237,11.315845366788485,110.64691128550633,63.92583185972047,-3.152140260016595,16.836150101210293,-2.156378002525195,3.7110859279351027,15.038579013815088,10.425288054983604,-10.234072057045749,109.43255335538207,22.56102623402649,-43.98331656733997
mature,359914.8060106556,486140.41585388366,3740292.133870966,1409449.7416376378,-10.604976159963586,7.836882658290046,-25.86083395628847,29.731546770849263,17.720819749138812,3.6144574200905097,-108.1763164381422,-5.487624767361108,270.74641248014984,216.32522979932648,-7.515692313769504,14.580688904245713,2.3346091451170787,2.3160745437226824,23.48804693107522,-2.347578960381062,-18.154304105695275,168.1301734854695,20.596281236191388,-52.45233492015769
decay,1362018.504869472,307300.6263154413,7747006.113129593,560542.8057491145,-7.6961961340673835,3.621972408803941,-0.34277226659430543,12.331241742466927,14.313374538299284,6.0482397834278405,-57.47373986128361,-0.4638303592698783,326.10686721310236,233.26908965354778,-3.774977637430758,2.8556012737819287,10.222590080142194,-2.7542523803890218,26.75117677658227,-6.264758631478739,-8.165008183420534,92.26388503852762,-0.09322283015387821,-18.47494228127009
