,Ck,Ca,Ke,Ge
intensification,-4.676443716350229,2.3108777361057804,1029528.0628449686,4.8011404907280335
mature,-13.87742870715989,1.943300884265276,1312146.7122776099,1.80893778992576
decay,-11.418143311784572,1.4159889364251772,737793.542040989,0.34910899694784886
